Sex,MouseID,Day,Hour,AvgActivity
Female,f1,1,0,33.266666666666666
Female,f1,1,1,31.683333333333334
Female,f1,1,2,26.15
Female,f1,1,3,30.233333333333334
Female,f1,1,4,19.883333333333333
Female,f1,1,5,7.683333333333334
Female,f1,1,6,29.016666666666666
Female,f1,1,7,27.983333333333334
Female,f1,1,8,29.45
Female,f1,1,9,3.7333333333333334
Female,f1,1,10,13.766666666666667
Female,f1,1,11,5.8
Female,f1,1,12,4.8
Female,f1,1,13,20.416666666666668
Female,f1,1,14,6.383333333333334
Female,f1,1,15,8.566666666666666
Female,f1,1,16,4.083333333333333
Female,f1,1,17,4.05
Female,f1,1,18,10.766666666666667
Female,f1,1,19,2.7666666666666666
Female,f1,1,20,9.933333333333334
Female,f1,1,21,4.783333333333333
Female,f1,1,22,7.116666666666666
Female,f1,1,23,20.1
Female,f1,2,0,36.85
Female,f1,2,1,32.93333333333333
Female,f1,2,2,32.05
Female,f1,2,3,15.733333333333333
Female,f1,2,4,32.4
Female,f1,2,5,29.166666666666668
Female,f1,2,6,27.366666666666667
Female,f1,2,7,32.88333333333333
Female,f1,2,8,27.783333333333335
Female,f1,2,9,14.75
Female,f1,2,10,10.866666666666667
Female,f1,2,11,6.116666666666666
Female,f1,2,12,4.416666666666667
Female,f1,2,13,16.05
Female,f1,2,14,3.65
Female,f1,2,15,5.483333333333333
Female,f1,2,16,4.683333333333334
Female,f1,2,17,4.383333333333334
Female,f1,2,18,3.95
Female,f1,2,19,4.683333333333334
Female,f1,2,20,14.483333333333333
Female,f1,2,21,3.466666666666667
Female,f1,2,22,10.2
Female,f1,2,23,22.733333333333334
Female,f1,3,0,29.4
Female,f1,3,1,30.733333333333334
Female,f1,3,2,31.966666666666665
Female,f1,3,3,31.55
Female,f1,3,4,8.683333333333334
Female,f1,3,5,14.883333333333333
Female,f1,3,6,20.55
Female,f1,3,7,24.566666666666666
Female,f1,3,8,30.983333333333334
Female,f1,3,9,13.433333333333334
Female,f1,3,10,14.45
Female,f1,3,11,16.716666666666665
Female,f1,3,12,8.216666666666667
Female,f1,3,13,2.2333333333333334
Female,f1,3,14,7.633333333333334
Female,f1,3,15,2.8666666666666667
Female,f1,3,16,3.4833333333333334
Female,f1,3,17,14.683333333333334
Female,f1,3,18,3.5166666666666666
Female,f1,3,19,2.8
Female,f1,3,20,4.316666666666666
Female,f1,3,21,12.533333333333333
Female,f1,3,22,5.133333333333334
Female,f1,3,23,20.866666666666667
Female,f1,4,0,31.816666666666666
Female,f1,4,1,26.55
Female,f1,4,2,18.416666666666668
Female,f1,4,3,22.25
Female,f1,4,4,17.733333333333334
Female,f1,4,5,21.15
Female,f1,4,6,24.516666666666666
Female,f1,4,7,35.083333333333336
Female,f1,4,8,19.166666666666668
Female,f1,4,9,4.9
Female,f1,4,10,12.683333333333334
Female,f1,4,11,19.066666666666666
Female,f1,4,12,2.05
Female,f1,4,13,4.583333333333333
Female,f1,4,14,17.733333333333334
Female,f1,4,15,8.033333333333333
Female,f1,4,16,2.85
Female,f1,4,17,2.533333333333333
Female,f1,4,18,11.4
Female,f1,4,19,2.45
Female,f1,4,20,11.75
Female,f1,4,21,4.966666666666667
Female,f1,4,22,14.933333333333334
Female,f1,4,23,12.15
Female,f1,5,0,41.016666666666666
Female,f1,5,1,34.0
Female,f1,5,2,33.63333333333333
Female,f1,5,3,32.583333333333336
Female,f1,5,4,27.216666666666665
Female,f1,5,5,29.4
Female,f1,5,6,34.416666666666664
Female,f1,5,7,29.433333333333334
Female,f1,5,8,3.8833333333333333
Female,f1,5,9,7.633333333333334
Female,f1,5,10,21.083333333333332
Female,f1,5,11,23.033333333333335
Female,f1,5,12,37.36666666666667
Female,f1,5,13,41.233333333333334
Female,f1,5,14,14.05
Female,f1,5,15,2.183333333333333
Female,f1,5,16,4.283333333333333
Female,f1,5,17,5.1
Female,f1,5,18,1.5333333333333334
Female,f1,5,19,6.95
Female,f1,5,20,6.433333333333334
Female,f1,5,21,3.45
Female,f1,5,22,6.683333333333334
Female,f1,5,23,8.55
Female,f1,6,0,33.266666666666666
Female,f1,6,1,27.516666666666666
Female,f1,6,2,28.1
Female,f1,6,3,20.45
Female,f1,6,4,35.56666666666667
Female,f1,6,5,24.666666666666668
Female,f1,6,6,38.0
Female,f1,6,7,36.93333333333333
Female,f1,6,8,33.35
Female,f1,6,9,18.666666666666668
Female,f1,6,10,18.45
Female,f1,6,11,16.566666666666666
Female,f1,6,12,16.116666666666667
Female,f1,6,13,10.083333333333334
Female,f1,6,14,2.1
Female,f1,6,15,2.95
Female,f1,6,16,8.583333333333334
Female,f1,6,17,3.066666666666667
Female,f1,6,18,2.1333333333333333
Female,f1,6,19,4.883333333333334
Female,f1,6,20,15.066666666666666
Female,f1,6,21,9.216666666666667
Female,f1,6,22,8.966666666666667
Female,f1,6,23,15.516666666666667
Female,f1,7,0,37.35
Female,f1,7,1,41.13333333333333
Female,f1,7,2,38.95
Female,f1,7,3,25.7
Female,f1,7,4,30.666666666666668
Female,f1,7,5,30.05
Female,f1,7,6,21.783333333333335
Female,f1,7,7,29.316666666666666
Female,f1,7,8,5.933333333333334
Female,f1,7,9,21.366666666666667
Female,f1,7,10,14.316666666666666
Female,f1,7,11,13.0
Female,f1,7,12,1.8833333333333333
Female,f1,7,13,14.5
Female,f1,7,14,3.433333333333333
Female,f1,7,15,3.3666666666666667
Female,f1,7,16,5.466666666666667
Female,f1,7,17,3.45
Female,f1,7,18,11.5
Female,f1,7,19,2.9
Female,f1,7,20,2.5166666666666666
Female,f1,7,21,11.95
Female,f1,7,22,5.416666666666667
Female,f1,7,23,19.033333333333335
Female,f1,8,0,23.833333333333332
Female,f1,8,1,37.4
Female,f1,8,2,35.233333333333334
Female,f1,8,3,18.25
Female,f1,8,4,19.9
Female,f1,8,5,25.966666666666665
Female,f1,8,6,19.166666666666668
Female,f1,8,7,24.016666666666666
Female,f1,8,8,15.633333333333333
Female,f1,8,9,9.75
Female,f1,8,10,12.8
Female,f1,8,11,4.45
Female,f1,8,12,2.2666666666666666
Female,f1,8,13,19.883333333333333
Female,f1,8,14,12.766666666666667
Female,f1,8,15,1.8666666666666667
Female,f1,8,16,10.733333333333333
Female,f1,8,17,1.3
Female,f1,8,18,2.2
Female,f1,8,19,8.883333333333333
Female,f1,8,20,3.6333333333333333
